ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
0.47769,-13.0102,Gxy,Cet,14.86,,0.125059,-0.227072,224,0.91,0.77,18.5,3,20,IC,,,,,
0.4764,-11.5867,Gxy,Cet,15.39,,0.124721,-0.202225,225,1.07,0.41,29.2,3,18,IC,,,,,
0.47764,-11.6406,Gxy,Cet,15.16,,0.125046,-0.203166,226,0.79,0.67,30.5,3,19,IC,,,,,
0.480639,2.83861,Gxy,Psc,12.9,,0.125831,0.0495431,227,1.7,1.5,85,2,125,NGC,,,,,
0.485583,2.81111,Gxy,Psc,14.3,,0.127125,0.0490631,228,0.9,0.4,110,2,126,NGC,,,,,
0.48675,2.8725,Gxy,Psc,14.8,,0.127431,0.0501346,229,0.8,0.6,70,2,127,NGC,,,,,
0.487528,2.86417,Gxy,Psc,11.8,,0.127634,0.0499891,230,3,0.9,1,2,128,NGC,,,,,
0.48623,-0.16376,Gxy,Cet,15.84,,0.127295,-0.00285815,231,0.49,,,3,21,IC,,,,,
0.488472,2.87056,Gxy,Psc,14.4,,0.127882,0.0501006,232,0.7,0.4,40,2,130,NGC,,,,,
0.493972,-33.2586,Gxy,Scl,13.1,,0.129322,-0.580472,233,1.9,0.6,63,2,131,NGC,,,,,
0.49255,-9.08076,Gxy,Cet,14.86,,0.128949,-0.158489,234,0.81,0.43,47,3,22,IC,,,,,
0.49547,21.4769,Gxy,Psc,15.32,,0.129714,0.374842,235,0.93,0.27,125.7,3,1552,IC,,,,,
0.498361,60.2097,OC,Cas,6.5,,0.130471,1.05086,236,21,,,2,129,NGC,,,,,
